Parent mesh: 480 elements, 623 vertices
Cylinder submesh: NE=288 NV=399 ndofs=2717 bdr_attrs=6..9
Cylinder ess vdofs: 593
Block submesh: NE=192 NV=336 ndofs=2080 bdr_attrs=1..9
Block ess vdofs (walls 1-4): 416
Block initial BC dofs (nonzero): 416
step 550, t = 0.01099999999999972  block: sum=7.616194e2 min=-1.518687e-2 max=1.000000e0  cyl: sum=3.881444e0 min=-2.226908e-2 max=3.299634e-2
step 560, t = 0.011199999999999712  block: sum=7.666764e2 min=-1.445078e-2 max=1.000000e0  cyl: sum=4.409105e0 min=-2.238424e-2 max=3.435265e-2
step 570, t = 0.011399999999999704  block: sum=7.717084e2 min=-1.367421e-2 max=1.000000e0  cyl: sum=4.961895e0 min=-2.249227e-2 max=3.576187e-2
step 580, t = 0.011599999999999696  block: sum=7.767158e2 min=-1.285642e-2 max=1.000000e0  cyl: sum=5.539650e0 min=-2.259332e-2 max=3.722248e-2
step 590, t = 0.011799999999999687  block: sum=7.816991e2 min=-1.199680e-2 max=1.000000e0  cyl: sum=6.142191e0 min=-2.268749e-2 max=3.873293e-2
step 600, t = 0.01199999999999968  block: sum=7.866587e2 min=-1.109486e-2 max=1.000000e0  cyl: sum=6.769320e0 min=-2.277488e-2 max=4.029169e-2
step 610, t = 0.012199999999999671  block: sum=7.915950e2 min=-1.015022e-2 max=1.000000e0  cyl: sum=7.420822e0 min=-2.285557e-2 max=4.189726e-2
step 620, t = 0.012399999999999663  block: sum=7.965084e2 min=-9.162624e-3 max=1.000000e0  cyl: sum=8.096472e0 min=-2.292961e-2 max=4.354811e-2
step 630, t = 0.012599999999999655  block: sum=8.013993e2 min=-8.131908e-3 max=1.000000e0  cyl: sum=8.796029e0 min=-2.299704e-2 max=4.524277e-2
step 640, t = 0.012799999999999647  block: sum=8.062679e2 min=-7.058000e-3 max=1.000000e0  cyl: sum=9.519245e0 min=-2.305791e-2 max=4.697976e-2
step 650, t = 0.012999999999999639  block: sum=8.111147e2 min=-5.940911e-3 max=1.000000e0  cyl: sum=1.026586e1 min=-2.311223e-2 max=4.875764e-2
step 660, t = 0.01319999999999963  block: sum=8.159398e2 min=-4.780735e-3 max=1.000000e0  cyl: sum=1.103561e1 min=-2.316001e-2 max=5.057499e-2
step 670, t = 0.013399999999999622  block: sum=8.207437e2 min=-3.577636e-3 max=1.000000e0  cyl: sum=1.182822e1 min=-2.320126e-2 max=5.243041e-2
step 680, t = 0.013599999999999614  block: sum=8.255266e2 min=-2.331846e-3 max=1.000000e0  cyl: sum=1.264341e1 min=-2.323596e-2 max=5.432253e-2
step 690, t = 0.013799999999999606  block: sum=8.302887e2 min=-1.043656e-3 max=1.000000e0  cyl: sum=1.348089e1 min=-2.326410e-2 max=5.625002e-2
step 700, t = 0.013999999999999598  block: sum=8.350302e2 min=2.865860e-4 max=1.000000e0  cyl: sum=1.434039e1 min=-2.328566e-2 max=5.821157e-2
step 710, t = 0.01419999999999959  block: sum=8.397515e2 min=1.658481e-3 max=1.000000e0  cyl: sum=1.522160e1 min=-2.330061e-2 max=6.020591e-2
step 720, t = 0.014399999999999582  block: sum=8.444527e2 min=3.071584e-3 max=1.000000e0  cyl: sum=1.612424e1 min=-2.330893e-2 max=6.223178e-2
step 730, t = 0.014599999999999573  block: sum=8.491341e2 min=4.525410e-3 max=1.000000e0  cyl: sum=1.704800e1 min=-2.331058e-2 max=6.428798e-2
step 740, t = 0.014799999999999565  block: sum=8.537958e2 min=6.019434e-3 max=1.000000e0  cyl: sum=1.799260e1 min=-2.330552e-2 max=6.637332e-2
step 750, t = 0.014999999999999557  block: sum=8.584380e2 min=7.553100e-3 max=1.000000e0  cyl: sum=1.895773e1 min=-2.329372e-2 max=6.848665e-2
step 760, t = 0.015199999999999549  block: sum=8.630610e2 min=9.125818e-3 max=1.000000e0  cyl: sum=1.994310e1 min=-2.327512e-2 max=7.062686e-2
step 770, t = 0.01539999999999954  block: sum=8.676649e2 min=1.073697e-2 max=1.000000e0  cyl: sum=2.094841e1 min=-2.324969e-2 max=7.279285e-2
step 780, t = 0.015599999999999533  block: sum=8.722498e2 min=1.238593e-2 max=1.000000e0  cyl: sum=2.197336e1 min=-2.321738e-2 max=7.498356e-2
step 790, t = 0.015799999999999526  block: sum=8.768160e2 min=1.407203e-2 max=1.000000e0  cyl: sum=2.301765e1 min=-2.317814e-2 max=7.719798e-2
step 800, t = 0.015999999999999518  block: sum=8.813636e2 min=1.579459e-2 max=1.000000e0  cyl: sum=2.408100e1 min=-2.313194e-2 max=7.943509e-2
step 810, t = 0.01619999999999951  block: sum=8.858928e2 min=1.755292e-2 max=1.000000e0  cyl: sum=2.516311e1 min=-2.307872e-2 max=8.169395e-2
step 820, t = 0.016399999999999502  block: sum=8.904036e2 min=1.934631e-2 max=1.000000e0  cyl: sum=2.626368e1 min=-2.301844e-2 max=8.397360e-2
step 830, t = 0.016599999999999494  block: sum=8.948963e2 min=2.117405e-2 max=1.000000e0  cyl: sum=2.738244e1 min=-2.295106e-2 max=8.627314e-2
step 840, t = 0.016799999999999485  block: sum=8.993710e2 min=2.303541e-2 max=1.000000e0  cyl: sum=2.851908e1 min=-2.296946e-2 max=8.859168e-2
step 850, t = 0.016999999999999477  block: sum=9.038277e2 min=2.492965e-2 max=1.000000e0  cyl: sum=2.967333e1 min=-2.301808e-2 max=9.092838e-2
step 860, t = 0.01719999999999947  block: sum=9.082667e2 min=2.685604e-2 max=1.000000e0  cyl: sum=3.084491e1 min=-2.306547e-2 max=9.328240e-2
step 870, t = 0.01739999999999946  block: sum=9.126881e2 min=2.881383e-2 max=1.000000e0  cyl: sum=3.203353e1 min=-2.311152e-2 max=9.565294e-2
step 880, t = 0.017599999999999453  block: sum=9.170919e2 min=3.080227e-2 max=1.000000e0  cyl: sum=3.323892e1 min=-2.315612e-2 max=9.803923e-2
step 890, t = 0.017799999999999445  block: sum=9.214783e2 min=3.282062e-2 max=1.000000e0  cyl: sum=3.446081e1 min=-2.319917e-2 max=1.004405e-1
step 900, t = 0.017999999999999437  block: sum=9.258474e2 min=3.486814e-2 max=1.000000e0  cyl: sum=3.569892e1 min=-2.324053e-2 max=1.028561e-1
step 910, t = 0.01819999999999943  block: sum=9.301994e2 min=3.694406e-2 max=1.000000e0  cyl: sum=3.695299e1 min=-2.328009e-2 max=1.052852e-1
step 920, t = 0.01839999999999942  block: sum=9.345342e2 min=3.904766e-2 max=1.000000e0  cyl: sum=3.822275e1 min=-2.331774e-2 max=1.077272e-1
step 930, t = 0.018599999999999412  block: sum=9.388521e2 min=4.117818e-2 max=1.000000e0  cyl: sum=3.950795e1 min=-2.335334e-2 max=1.101814e-1
step 940, t = 0.018799999999999404  block: sum=9.431532e2 min=4.333490e-2 max=1.000000e0  cyl: sum=4.080833e1 min=-2.338678e-2 max=1.126472e-1
step 950, t = 0.018999999999999396  block: sum=9.474374e2 min=4.551707e-2 max=1.000000e0  cyl: sum=4.212362e1 min=-2.341793e-2 max=1.151239e-1
step 960, t = 0.019199999999999388  block: sum=9.517050e2 min=4.772399e-2 max=1.000000e0  cyl: sum=4.345359e1 min=-2.344666e-2 max=1.176111e-1
step 970, t = 0.01939999999999938  block: sum=9.559560e2 min=4.995491e-2 max=1.000000e0  cyl: sum=4.479799e1 min=-2.347284e-2 max=1.201080e-1
step 980, t = 0.01959999999999937  block: sum=9.601905e2 min=5.220914e-2 max=1.000000e0  cyl: sum=4.615657e1 min=-2.349636e-2 max=1.226142e-1
step 990, t = 0.019799999999999363  block: sum=9.644086e2 min=5.448596e-2 max=1.000000e0  cyl: sum=4.752909e1 min=-2.351708e-2 max=1.251290e-1
step 1000, t = 0.019999999999999355  block: sum=9.686105e2 min=5.678467e-2 max=1.000000e0  cyl: sum=4.891531e1 min=-2.353488e-2 max=1.276520e-1
step 1010, t = 0.020199999999999347  block: sum=9.727961e2 min=5.910460e-2 max=1.000000e0  cyl: sum=5.031501e1 min=-2.354963e-2 max=1.301827e-1
step 1020, t = 0.02039999999999934  block: sum=9.769655e2 min=6.144505e-2 max=1.000000e0  cyl: sum=5.172794e1 min=-2.356122e-2 max=1.327205e-1
step 1030, t = 0.02059999999999933  block: sum=9.811189e2 min=6.380535e-2 max=1.000000e0  cyl: sum=5.315390e1 min=-2.356951e-2 max=1.352651e-1
step 1040, t = 0.020799999999999323  block: sum=9.852564e2 min=6.618485e-2 max=1.000000e0  cyl: sum=5.459264e1 min=-2.357440e-2 max=1.378159e-1
step 1050, t = 0.020999999999999314  block: sum=9.893779e2 min=6.858288e-2 max=1.000000e0  cyl: sum=5.604396e1 min=-2.357575e-2 max=1.403725e-1
step 1060, t = 0.021199999999999306  block: sum=9.934837e2 min=7.099880e-2 max=1.000000e0  cyl: sum=5.750764e1 min=-2.361287e-2 max=1.429345e-1
step 1070, t = 0.021399999999999298  block: sum=9.975737e2 min=7.343199e-2 max=1.000000e0  cyl: sum=5.898346e1 min=-2.367386e-2 max=1.455014e-1
step 1080, t = 0.02159999999999929  block: sum=1.001648e3 min=7.588181e-2 max=1.000000e0  cyl: sum=6.047122e1 min=-2.373253e-2 max=1.480729e-1
